task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1017	a8/f3de56	7975151	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_selangorensis_GCF_004769405)	COMPLETED	0	2025-11-26 12:01:21.300	5m	1m 19s	1013.9%	174.1 MB	2.7 GB	175.9 MB	77.1 MB
1019	cc/2cc564	7975154	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_dzoumogneensis_GCF_004770895)	COMPLETED	0	2025-11-26 12:01:21.464	4m 59s	1m 17s	1009.8%	176.6 MB	2.7 GB	174.4 MB	76.3 MB
1021	66/e96f79	7975156	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_semungkisensis_GCF_004770055)	COMPLETED	0	2025-11-26 12:01:21.571	4m 59s	1m 7s	986.2%	175 MB	2.7 GB	171.2 MB	74.2 MB
1016	b7/b12268	7975152	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_bouyouniensis_GCF_004770445)	COMPLETED	0	2025-11-26 12:01:21.355	5m	1m 3s	974.9%	176.7 MB	2.7 GB	174.3 MB	71.2 MB
1012	47/05cb08	7975147	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_chreensis_GCF_016919165)	COMPLETED	0	2025-11-26 12:01:20.936	5m	1m 7s	977.8%	173.5 MB	2.7 GB	181.6 MB	74.2 MB
1013	a3/f75e05	7975149	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_iowaensis_GCF_040833965)	COMPLETED	0	2025-11-26 12:01:21.108	5m	1m 3s	981.2%	188.4 MB	2.7 GB	173.4 MB	70.8 MB
1015	91/0bb27c	7975150	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_neocaledonica_GCF_002812205)	COMPLETED	0	2025-11-26 12:01:21.213	5m	1m 18s	1007.7%	173.9 MB	2.7 GB	176.3 MB	77.1 MB
1023	7a/6d1a59	7975158	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_hartskeerlii_GCF_002811475)	COMPLETED	0	2025-11-26 12:01:21.681	4m 59s	1m 15s	1000.3%	174.9 MB	2.7 GB	173.1 MB	75.6 MB
1024	76/e0f1e6	7975160	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_andrefontaineae_GCF_004770105)	COMPLETED	0	2025-11-26 12:01:21.791	4m 59s	1m 19s	1004.4%	172.8 MB	2.7 GB	177.7 MB	77.8 MB
1061	c7/936c4f	7975159	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ellinghausenii_GCF_003114815_Leptospira_mtsangambouensis_GCF_004770475)	COMPLETED	0	2025-11-26 12:01:21.737	4m 59s	1m 24s	1017.2%	165.5 MB	2.7 GB	170.8 MB	74.3 MB
1025	b2/7bfd0b	7975161	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_venezuelensis_GCF_002150035)	COMPLETED	0	2025-11-26 12:01:21.845	4m 59s	1m 18s	1003.3%	177.4 MB	2.7 GB	178.1 MB	78.2 MB
1028	54/a5dbe3	7975164	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_yanagawae_GCF_000332475)	COMPLETED	0	2025-11-26 12:01:22.010	4m 59s	1m 2s	986.5%	171.3 MB	2.7 GB	173.3 MB	70.5 MB
